relative_path,labels,confidences,num_labels
000000000036.jpg,"[""umbrella"", ""maillot, tank_suit"", ""maillot"", ""parachute, chute"", ""miniskirt, mini""]","[0.9991834759712219, 0.0004462170763872564, 0.00013771055091638118, 5.3509265853790566e-05, 4.2141291487496346e-05]",5
000000000049.jpg,"[""football_helmet"", ""stretcher"", ""breastplate, aegis, egis"", ""parachute, chute"", ""ballplayer, baseball_player""]","[0.7569755911827087, 0.029355483129620552, 0.028890887275338173, 0.018535329028964043, 0.01686936803162098]",5
000000000061.jpg,"[""snowmobile"", ""gorilla, Gorilla_gorilla"", ""Scotch_terrier, Scottish_terrier, Scottie"", ""go-kart"", ""schipperke""]","[0.16173379123210907, 0.05351141840219498, 0.050741273909807205, 0.033740490674972534, 0.03345825895667076]",5
000000000074.jpg,"[""Labrador_retriever"", ""golden_retriever"", ""West_Highland_white_terrier"", ""kuvasz"", ""tricycle, trike, velocipede""]","[0.2871333956718445, 0.04964727535843849, 0.048169348388910294, 0.03665852174162865, 0.032584868371486664]",5
000000000077.jpg,"[""chain_saw, chainsaw"", ""fountain"", ""jigsaw_puzzle"", ""banjo"", ""electric_guitar""]","[0.5173139572143555, 0.2836996912956238, 0.027723442763090134, 0.017500046640634537, 0.01155330240726471]",5
000000000086.jpg,"[""bicycle-built-for-two, tandem_bicycle, tandem"", ""mountain_bike, all-terrain_bike, off-roader"", ""moped"", ""tricycle, trike, velocipede"", ""crash_helmet""]","[0.3479197323322296, 0.2536836862564087, 0.21946600079536438, 0.10292140394449234, 0.029339564964175224]",5
000000000110.jpg,"[""pizza, pizza_pie"", ""Dungeness_crab, Cancer_magister"", ""potpie"", ""rock_crab, Cancer_irroratus"", ""king_crab, Alaska_crab, Alaskan_king_crab, Alaska_king_crab, Paralithodes_camtschatica""]","[0.6268301010131836, 0.20042814314365387, 0.0640275776386261, 0.03314969688653946, 0.021768731996417046]",5
000000000113.jpg,"[""crossword_puzzle, crossword"", ""binder, ring-binder"", ""jigsaw_puzzle"", ""restaurant, eating_house, eating_place, eatery"", ""dining_table, board""]","[0.2748929262161255, 0.13823644816875458, 0.05864667147397995, 0.05456358939409256, 0.03354988247156143]",5
000000000127.jpg,"[""espresso"", ""toaster"", ""neck_brace"", ""Crock_Pot"", ""mortar""]","[0.43912044167518616, 0.11423449218273163, 0.07580771297216415, 0.04104340821504593, 0.023263132199645042]",5
000000000136.jpg,"[""leopard, Panthera_pardus"", ""jaguar, panther, Panthera_onca, Felis_onca"", ""cheetah, chetah, Acinonyx_jubatus"", ""Arabian_camel, dromedary, Camelus_dromedarius"", ""German_short-haired_pointer""]","[0.4075036942958832, 0.19371557235717773, 0.1615617871284485, 0.13503435254096985, 0.010581535287201405]",5
000000000139.jpg,"[""restaurant, eating_house, eating_place, eatery"", ""home_theater, home_theatre"", ""dining_table, board"", ""cinema, movie_theater, movie_theatre, movie_house, picture_palace"", ""rocking_chair, rocker""]","[0.265442430973053, 0.09951367229223251, 0.050293877720832825, 0.04804316535592079, 0.04691581055521965]",5
000000000149.jpg,"[""parachute, chute"", ""balloon"", ""soccer_ball"", ""airship, dirigible"", ""flagpole, flagstaff""]","[0.4992896318435669, 0.216840460896492, 0.06583401560783386, 0.04403474181890488, 0.03982193022966385]",5
000000000165.jpg,"[""military_uniform"", ""bearskin, busby, shako"", ""groom, bridegroom"", ""bassoon"", ""vestment""]","[0.4738048017024994, 0.04260525852441788, 0.04259345680475235, 0.03535146266222, 0.02738358825445175]",5
000000000192.jpg,"[""ballplayer, baseball_player"", ""baseball"", ""football_helmet"", ""scoreboard"", ""racket, racquet""]","[0.9905025959014893, 0.008812880143523216, 0.00021912246302235872, 8.043563866522163e-05, 7.27762162568979e-05]",5
000000000201.jpg,"[""ski"", ""shovel"", ""dogsled, dog_sled, dog_sleigh"", ""snowmobile"", ""mailbox, letter_box""]","[0.9945863485336304, 0.0034616796765476465, 0.0006236388580873609, 0.0006232636515051126, 0.0001051139843184501]",5
000000000241.jpg,"[""drum, membranophone, tympan"", ""pajama, pyjama, pj's, jammies"", ""maraca"", ""banjo"", ""iron, smoothing_iron""]","[0.08698509633541107, 0.06307660788297653, 0.048626333475112915, 0.04572482407093048, 0.041027843952178955]",5
000000000257.jpg,"[""triumphal_arch"", ""golfcart, golf_cart"", ""bell_cote, bell_cot"", ""fire_engine, fire_truck"", ""tow_truck, tow_car, wrecker""]","[0.9283727407455444, 0.016192171722650528, 0.007330457679927349, 0.004780042916536331, 0.0035707522183656693]",5
000000000260.jpg,"[""shopping_cart"", ""grocery_store, grocery, food_market, market"", ""turnstile"", ""stage"", ""shopping_basket""]","[0.6020333766937256, 0.06100074201822281, 0.039041947573423386, 0.02949649840593338, 0.014990340918302536]",5
000000000294.jpg,"[""gong, tam-tam"", ""frying_pan, frypan, skillet"", ""drum, membranophone, tympan"", ""strainer"", ""microwave, microwave_oven""]","[0.24847787618637085, 0.2231983095407486, 0.04932134971022606, 0.04326385259628296, 0.036697421222925186]",5
000000000308.jpg,"[""steel_drum"", ""drum, membranophone, tympan"", ""caldron, cauldron"", ""barrel, cask"", ""rain_barrel""]","[0.38730090856552124, 0.31546249985694885, 0.11744783073663712, 0.11325447261333466, 0.023424578830599785]",5
000000000315.jpg,"[""seashore, coast, seacoast, sea-coast"", ""sandbar, sand_bar"", ""catamaran"", ""bikini, two-piece"", ""umbrella""]","[0.3126281797885895, 0.16628102958202362, 0.1072065532207489, 0.05357161536812782, 0.048653744161129]",5
000000000328.jpg,"[""accordion, piano_accordion, squeeze_box"", ""military_uniform"", ""sax, saxophone"", ""bassoon"", ""cornet, horn, trumpet, trump""]","[0.55645352602005, 0.11238574236631393, 0.09695549309253693, 0.03897687420248985, 0.030522018671035767]",5
000000000338.jpg,"[""microwave, microwave_oven"", ""restaurant, eating_house, eating_place, eatery"", ""bakery, bakeshop, bakehouse"", ""barbershop"", ""stove""]","[0.23255346715450287, 0.20564012229442596, 0.12645775079727173, 0.0722072646021843, 0.051851700991392136]",5
000000000357.jpg,"[""fountain"", ""sewing_machine"", ""damselfly"", ""weevil"", ""black_widow, Latrodectus_mactans""]","[0.13165488839149475, 0.12491288036108017, 0.06592101603746414, 0.046842556446790695, 0.04309167340397835]",5
000000000368.jpg,"[""soccer_ball"", ""football_helmet"", ""rugby_ball"", ""lawn_mower, mower"", ""maypole""]","[0.3805265426635742, 0.15940305590629578, 0.1452084630727768, 0.09751894325017929, 0.044757284224033356]",5
000000000370.jpg,"[""broccoli"", ""cucumber, cuke"", ""zucchini, courgette"", ""cauliflower"", ""head_cabbage""]","[0.9940105080604553, 0.002021389314904809, 0.0014464318519458175, 0.0013892088318243623, 0.00032571962219662964]",5
000000000389.jpg,"[""vestment"", ""chain_mail, ring_mail, mail, chain_armor, chain_armour, ring_armor, ring_armour"", ""lab_coat, laboratory_coat"", ""cloak"", ""stole""]","[0.6073064208030701, 0.20308180153369904, 0.08276401460170746, 0.04165741801261902, 0.025198644027113914]",5
000000000395.jpg,"[""harmonica, mouth_organ, harp, mouth_harp"", ""cowboy_hat, ten-gallon_hat"", ""sombrero"", ""cloak"", ""trench_coat""]","[0.14829812943935394, 0.10742665827274323, 0.07413001358509064, 0.0676654502749443, 0.06721315532922745]",5
000000000397.jpg,"[""pizza, pizza_pie"", ""potpie"", ""frying_pan, frypan, skillet"", ""bakery, bakeshop, bakehouse"", ""trifle""]","[0.9974683523178101, 0.0009901830926537514, 0.0005642135511152446, 0.0002884555724449456, 7.335731788771227e-05]",5
000000000415.jpg,"[""racket, racquet"", ""tennis_ball"", ""ping-pong_ball"", ""soccer_ball"", ""unicycle, monocycle""]","[0.969791054725647, 0.03019033744931221, 1.5294910554075614e-05, 7.939144666124776e-07, 6.425386231967423e-07]",5
000000000419.jpg,"[""racket, racquet"", ""volleyball"", ""soccer_ball"", ""white_stork, Ciconia_ciconia"", ""ballplayer, baseball_player""]","[0.7541333436965942, 0.07294676452875137, 0.020435601472854614, 0.0200938880443573, 0.015083464793860912]",5
000000000428.jpg,"[""soap_dispenser"", ""bubble"", ""lampshade, lamp_shade"", ""bathtub, bathing_tub, bath, tub"", ""goblet""]","[0.08614085614681244, 0.08061451464891434, 0.07323330640792847, 0.06322848796844482, 0.05682269483804703]",5
000000000431.jpg,"[""racket, racquet"", ""ballplayer, baseball_player"", ""soccer_ball"", ""tennis_ball"", ""baseball""]","[0.9426285624504089, 0.019434131681919098, 0.015924867242574692, 0.012938171625137329, 0.005918805953115225]",5
000000000436.jpg,"[""cheeseburger"", ""pretzel"", ""bagel, beigel"", ""French_loaf"", ""hotdog, hot_dog, red_hot""]","[0.30098679661750793, 0.1816806197166443, 0.15517234802246094, 0.12581157684326172, 0.1201646700501442]",5
000000000443.jpg,"[""Siberian_husky"", ""Egyptian_cat"", ""malamute, malemute, Alaskan_malamute"", ""remote_control, remote"", ""Siamese_cat, Siamese""]","[0.3463923931121826, 0.3005768954753876, 0.09566503763198853, 0.04155787080526352, 0.029196783900260925]",5
000000000459.jpg,"[""suit, suit_of_clothes"", ""Windsor_tie"", ""groom, bridegroom"", ""bolo_tie, bolo, bola_tie, bola"", ""bow_tie, bow-tie, bowtie""]","[0.8910312056541443, 0.06666254252195358, 0.024591203778982162, 0.0023500442039221525, 0.0015951337991282344]",5
000000000474.jpg,"[""ballplayer, baseball_player"", ""croquet_ball"", ""baseball"", ""Doberman, Doberman_pinscher"", ""lawn_mower, mower""]","[0.29853156208992004, 0.19001807272434235, 0.07657761126756668, 0.07062522321939468, 0.05692778900265694]",5
000000000488.jpg,"[""ballplayer, baseball_player"", ""fountain"", ""baseball"", ""unicycle, monocycle"", ""sandbar, sand_bar""]","[0.33782732486724854, 0.17482130229473114, 0.10382306575775146, 0.06417518854141235, 0.035741038620471954]",5
000000000510.jpg,"[""park_bench"", ""fountain"", ""marimba, xylophone"", ""doormat, welcome_mat"", ""swing""]","[0.9667328596115112, 0.02146083489060402, 0.006426589097827673, 0.0004183426790405065, 0.00040335406083613634]",5
000000000520.jpg,"[""dock, dockage, docking_facility"", ""pier"", ""breakwater, groin, groyne, mole, bulwark, seawall, jetty"", ""lakeside, lakeshore"", ""pelican""]","[0.39631548523902893, 0.1366245597600937, 0.11155939102172852, 0.07158393412828445, 0.059783753007650375]",5
000000000529.jpg,"[""tricycle, trike, velocipede"", ""crash_helmet"", ""mountain_bike, all-terrain_bike, off-roader"", ""moped"", ""cannon""]","[0.12393645197153091, 0.12359315156936646, 0.11360684782266617, 0.10772140324115753, 0.04956595227122307]",5
000000000531.jpg,"[""solar_dish, solar_collector, solar_furnace"", ""scoreboard"", ""ballplayer, baseball_player"", ""maze, labyrinth"", ""palace""]","[0.1653764545917511, 0.14694038033485413, 0.12970325350761414, 0.032144613564014435, 0.028191721066832542]",5
000000000532.jpg,"[""school_bus"", ""tow_truck, tow_car, wrecker"", ""fire_engine, fire_truck"", ""pickup, pickup_truck"", ""trailer_truck, tractor_trailer, trucking_rig, rig, articulated_lorry, semi""]","[0.669823408126831, 0.15893277525901794, 0.05907442793250084, 0.04012912139296532, 0.019158294424414635]",5
000000000536.jpg,"[""oboe, hautboy, hautbois"", ""wig"", ""flute, transverse_flute"", ""miniskirt, mini"", ""feather_boa, boa""]","[0.08253367245197296, 0.08116631954908371, 0.07429706305265427, 0.04443748667836189, 0.04225492104887962]",5
000000000542.jpg,"[""aircraft_carrier, carrier, flattop, attack_aircraft_carrier"", ""wing"", ""warplane, military_plane"", ""submarine, pigboat, sub, U-boat"", ""crane""]","[0.24367550015449524, 0.24111329019069672, 0.13039278984069824, 0.08939758688211441, 0.0822407603263855]",5
